Job_offer,Label,Traslation,token
"Openjobmetis SpA ricerca, per importante azienda multinazionale leader nel settore sanitario e ospedaliero, un Software Developer. La risorsa, all'interno del team di R&D, si occuperà dello sviluppo, modellazione e manutenzione dei software e dei servizi per il sistema sanitario. Si interfaccerà inoltre con tutte le aree funzionali convolte dalla progettazione, sino allo sviluppo e manutenzione dei prodotti. Requisiti richiesti: - Laurea in Ingegneria Informatica, Matematica, Fisica o equipollenti; - Esperienza di sviluppo in Java (2-3 anni); - Esperienza di sviluppo su database relazionali e conoscenza SQL - conoscenza su soluzioni software Object Oriented e sui Design Pattern; - Buona conoscenza dell'inglese; Costituiscono titoli preferenziali ma non obbligatori: - Conoscenza di RDBMS Oracle, SQL e linguaggio PL/SQL; - Conoscenza di Javascript; - Esperienza di sviluppo con strumenti di middleware",Java Developer,"Openjobmetis spa research, for an important leading multinational company in the health and hospital sector, a software Developer.The resource, within the R&D team, will deal with the development, modeling and maintenance of software and services for the health system.It will also interface with all the functional areas contained by the design, up to the development and maintenance of the products.Requirements: - Degree in IT engineering, mathematics, physical or equivalent;- Development experience in Java (2-3 years);- Development experience on relational databases and SQL knowledge - Knowledge on Object Oriented software solutions and on design patterns;- good knowledge of English;They constitute preferential but not mandatory titles: - knowledge of Oracle RDBMS, SQL and PL/SQL language;- Knowledge of JavaScript;- Development experience with middleware tools",openjobmetis spa research important lead multinational company health hospital sector software developer resource within team deal development modeling maintenance software service health system also interface functional area contain design development maintenance product requirement degree engineering mathematic physical equivalent development experience java years development experience relational database sql knowledge knowledge object orient software solution design patterns good knowledge englishthey constitute preferential mandatory title knowledge oracle rdbms sql sql language knowledge javascript development experience middleware tool
"La persona prescelta, diplomata o laureata in materie informatiche, avrà l'opportunità di entrare a far parte di una realtà riconosciuta e premiata a livello internazionale, che collabora con Brand leader di settore come Bulgari, Mercedes-Benz, Mediaset, Muller e molti altri ancora. Potrà sperimentarsi in un contesto che spicca per creatività e non convenzionalità, al fianco di talenti capaci di sviluppare esperienze digitali in grado di lasciare il segno nel cuore delle persone. Si metterà alla prova quotidianamente con tecnologie all'avanguardia, prendendo parte alla creazione di contenuti dal design innovativo capaci di sorprendere l'utente e di offrirgli un'esperienza magica.

   Inserita all'interno del team di progettazione e sviluppo e a diretto riporto dell'Head of Back End, si occuperà della realizzazione di web application complesse, focalizzandosi sulla programmazione back end e confrontandosi con i colleghi dell'area front end. Interpreterà i bisogni del cliente e sarà responsabile della consegna dei lavori assegnati nei tempi previsti, identificando possibili criticità e ricercando le soluzioni più adatte per ovviarle.",Software Engineer,"The chosen person, graduated or graduated in IT subjects, will have the opportunity to become part of a recognized and internationally rewarded reality, which collaborates with the industry leader brand such as Bulgari, Mercedes-Benz, Mediaset, Muller and many othersStill.He will be able to experiment in a context that stands out for creativity and non -conventionality, alongside talents capable of developing digital experiences capable of leaving their mark in the hearts of people.He will test himself daily with cutting -edge technologies, taking part in the creation of content with an innovative design capable of surprising the user and offering him a magical experience.

   Inserted within the design and development team and to the direct report of the head of back end, it will deal with the creation of complex web applications, focusing on the back end programming and comparing with colleagues from the front end area.It will interpret the customer's needs and will be responsible for the delivery of the works assigned in the scheduled times, identifying possible critical issues and seeking the most suitable solutions to obvious them.",choose person graduate graduate subject opportunity become part recognize internationally reward reality collaborate industry leader brand bulgari mercedes benz mediaset muller many othersstill able experiment context stand creativity non conventionality alongside talent capable develop digital experience capable leave mark heart people test daily cut edge technology take part creation content innovative design capable surprise user offer magical experience insert within design development team direct report head back end deal creation complex web application focus back end programming compare colleague front end area interpret customer need responsible delivery work assign schedule time identify possible critical issue seek suitable solution obvious
"Sei un informatico o matematico con la passione per la progettazione software e linguaggi di alto livello?
   Ti piacerebbe lavorare nel Team di Ricerca e Sviluppo di un'importante azienda leader nel suo settore ed appartenente al comparto dell'automazione? Siamo alla ricerca di un, Valutiamo con interesse neolaureati in Informatica/Ingegneria Informatica/Elettronica/Meccatronica o in Matematica, in alternativa valutiamo profili con qualche anno di esperienza (anche periti informatici)
   Le risorse verranno inserite nel Team ufficio Software composto da sei risorse coordinate dalla Direzione Tecnica e si occuperanno di sviluppare software per macchine del comparto automazione.
   È necessario avere una buona conoscenza dei seguenti programmi: Visual studio, .NET Framework, Linguaggio C#, WPF con pattern MVVM, WCF, Web Services, Linq, Html, TFS, HMI, C++.",Software Engineer,"Are you a computer scientist or mathematician with a passion for software design and high -level languages?
   Would you like to work in the research and development team of an important leading company in its sector and belonging to the automation sector?We are looking for a, we evaluate with interest graduates in computer scientists/computer/electronics/mechatronics or mathematics, alternatively we evaluate profiles with a few years of experience (also IT experts)
   The resources will be included in the software office team consisting of six resources coordinated by the technical direction and will take care of developing software for automation sector machines.
   It is necessary to have a good knowledge of the following programs: Visual Studio, .NET Framework, C#Language, WPF with patterns MVVM, WCF, Web Services, Linq, HTML, TFS, HMI, C ++.",computer scientist mathematician passion software design high level language would like work research development team important lead company sector belong automation sectorwe look evaluate interest graduate computer scientist computer electronic mechatronic mathematic alternatively evaluate profile year experience also expert resource include software office team consist six resource coordinate technical direction take care develop software automation sector machine necessary good knowledge follow program visual studio net framework clanguage wpf pattern mvvm wcf web services linq html tfs hmi
"Ti occuperai della progettazione, realizzazione e manutenzione di siti web, servizi e di API.
   Sarai il responsabile della nuova area ""WebDev"" del Gruppo e ti occuperai di
   - Analisi e sviluppo ecommerce su piattaforma Woocommerce in team con il PM di progetto e il team di marketing
   - Implementazione di nuovi moduli e funzionalità
   - Import ed export di dati, configurazioni flussi e-commerce, gateway di pagamento, tool di marketing automation
   - Sviluppo software di backend (API e interfacce web)
   - Partecipare al processo di evoluzione di un'infrastruttura service oriented.

   Nelle attività quotidiane collaborarai con il team marketing alla definizione della tecnologia e l'innovazione.",Programmer,"You will take care of the design, implementation and maintenance of websites, services and bees.
   You will be the manager of the new ""WebDev"" area of the group and you will deal with
   - Ecommerce analysis and development on the WooCommerce platform in Team with the project prosecutor and the marketing team
   - implementation of new modules and functionality
   - import and data export, e-commerce flow configurations, payment gateway, marketing automation tools
   - Backand software development (bees and web interfaces)
   - Participate in the process of evolution of a Service Oriented infrastructure.

   In daily activities you will collaborate with team marketing in the definition of technology and innovation.",take care design implementation maintenance website service bee manager new webdev area group deal ecommerce analysis development woocommerce platform team project prosecutor marketing team implementation new module functionality import datum export commerce flow configuration payment gateway marketing automation tool backand software development bee web interface participate process evolution service orient infrastructure daily activity collaborate team marketing definition technology innovation
"Stiamo cercando uno\una sviluppatore\sviluppatrice Senior con le seguenti competenze: Senior C# Developer - ASP.NET - Entity framework and SOLID programming principles are a plus Microsoft SQL Server Web technology - HTML - CSS - Javascript - VueJS is a plus Microsoft Visual Studio Version Control System - Git SCRUM methodology (as team member) - JIRA tool, Job Description: Il Senior.NET Developer si concentra sulla progettazione, lo sviluppo di soluzioni aziendali e altri progetti di sviluppo di applicazioni personalizzate utilizzando .NET Framework, C #, ASP.NET, MS SQL Server e altri componenti avanzati della tecnologia Microsoft, utilizzando anche metodologie agile. Il ruolo prevede il coinvolgimento in progetti/servizi complessi presso i nostri principali clienti con lâ€(TM)obiettivo di supportare lâ€(TM)implementazione e lâ€(TM)evoluzione dei processi e dei sistemi dellâ€(TM)area di riferimento. â€¢ Timing Application: 15/01/2021 â€"" 30/03/2021 â€¢ Place of work: Arezzo â€"" Firenze â€¢ Working time: Full Time â€¢ Type of contract: Indeterminato About You: Sei uno sviluppatore di software di talento che è in grado di comunicare chiaramente con un pubblico tecnico e non? Sei appassionato di tecnologia ed hai una forte sensibilità aziendale e la capacità di relazionarti bene con i clienti? Your Technical Background Likely Includes, tecnologico Microsoft â€¢ Creare specifiche tecniche basate su requisiti funzionali â€¢ Progettare e costruire test di applicazione / unità secondo un determinato piano di test â€¢ Interfacciarsi direttamente con i clienti, raccogliendo feedback e discutendo della progettazione tecnica â€¢ Lavorare come membro di un team di sviluppo software ad alte prestazioni â€¢ Agire come un collaboratore chiave in un team agile, eseguendo sprint su applicazioni nuove ed esistenti Lâ€(TM)inquadramento e la retribuzione saranno commisurate alle effettive capacità ed esperienze del candidato. Unisciti al nostro team, i talenti sono la nostra forza! Si precisa che non saranno prese in considerazione le candidature prive di: â€¢ autorizzazione al trattamento dei dati personali ai sensi dellâ€(TM)art. 13 GDPR 679/16 â€¢ firma a convalida della suddetta liberatoria. Si riporta di seguito un esempio di liberatoria: â€œAutorizzo il trattamento dei miei dati personali
   ai sensi dellâ€(TM)art. 13 GDPR 679/16 â€"" â€œRegolamento europeo sulla protezione dei dati personaliâ€.â€ Rif. D PROG 2021
   Contatta l'utente
   Contatta l'utente, LA RISORSA UMANA.IT Divisione Recruitment ricerca per innovativa realtà nell'ambito dello sviluppo di piattaforme di formazione online La Risorsa si occuperà di: - Realizzazione siti web e realizzazione applicativi mobile - gestione ed implementazione delle piattaforme già esistenti - analisi dell'esigenza del cliente e proposizione della soluzione migliore La Risorsa ideale ha i seguenti requisiti: - titolo di studio in ambito informatico o esperienza assimilata - conoscenza di PHP e framework Laravel - conoscenza di javascript, HTML, CSS - conoscenza di database relazionali (MySQL) - esperienza nell'utilizzo del cms Wordpress Si offre iniziale inserimento in stage. Sede di lavoro: Firenze Clicca sul link sottostante ""sito web"" per inviarci la tua candidatura.
   Contatta l'utente, Azienda di importanza Nazionale, ricerca un programmatore C# .NET con esperienza. Il candidato si occuperà di analisi, progettazione e sviluppo di nuove applicazioni web, in ambiente Visual Studio. Requisiti richiesti Almeno 3 anni di esperienza in analoga mansione Ottima conoscenza del linguaggio C#, HTML 5, Sql Server Jquery, Json, Ottima conoscenza di .Net framework 3.5 e successivi Capacità di lavorare in Team Buona capacità di adattamento e flessibilità nel ruolo e nella mansione Capacità di problem solving Orientamento all'obiettivo e al risultato Gradita conoscenza di: Javascript e Bootstrap. Programmazione microcontrollori in C++ Completano il profilo spirito di iniziativa e autonomia nello svolgimento del progetto assegnato Assunzione a tempo indeterminato direttamente da parte del cliente e RAL al di sopra della media del mercato. L'offerta di lavoro si intende rivolta all'uno e all'altro sesso in ottemperanza al D.Lgs. 198/2006.
   Contatta l'utente, Grazie per averci aiutato a far rispettare le regole di pubblicazione degli annunci.
   ×

   Segnalazione già inviata!

   Grazie per averci aiutato a far rispettare le regole di pubblicazione degli annunci.
   ×

   Spiacenti, l'invio della segnalazione non è riuscito

   Riprova, oppure contatta l'Assistenza Clienti
   ×, Ho letto l'informativa sulla Privacy
   Do il mio consenso per ricevere email con offerte relative a Kijiji
   Do il mio consenso per ricevere email promozionali da parte di terzi, incluse società del gruppo eBay
   Conferma di non essere un robot! Cliccando su ""Invia"" accetti queste condizioni del sito.",Programmer,"We are looking for an \ a developer \ Senior developer with the following skills: Senior C# Developer - ASP.NET - Entity Framework and Solid Programming Principles are a Plus Microsoft SQL Server Web Technology - HTML - CSS - Javascript - Vuejs is a Plus Microsoft Visual Studio StudioVersion Control System - Git Scrum Methodology (AS Team Member) - Jira Tool, Job Description: the Senior.net Developer focuses on the design, the development of company solutions and other personalized applications development projects using .NET framework, C #,ASP.NET, MS SQL Server and other advanced components of Microsoft technology, also using agile methodologies.The role provides for the involvement in complex projects/services with our main customers with the objective of supporting the implementation and the evolution of processes and systems of the reference area of the reference areaâ € ¢ Timing Application: 15/01/2021 â € ""30/03/2021 â € ¢ Place of Work: Arezzo â €"" Florence â € ¢ Working Time: Full Time â € ¢ Type of Contract: indefinite about you:Are you a talented software developer who is able to communicate clearly with a technical and non -technical audience?Are you passionate about technology and have a strong corporate sensitivity and the ability to relate well with customers?Your Technical Background Likely Includes, Microsoft Technology â € Â € Create technical specifications based on functional requirements â € ¢ Designing and building application / unit tests according to a certain test plan â € ¢ interface directly with customers, collecting feedback and discussing the designTechnique â € ¢ Working as a member of a high -performance software development team â € ¢ act as a key collaborator in an agile team, performing sprints on new and existing applications (TM) framework and the remuneration will be commensurate with actual skillsand experiences of the candidate.Join our team, talents are our strength!It should be noted that nominations without: â € ¢ authorization for the processing of personal data will not be taken into consideration pursuant to (TM) art.13 GDPR 679/16 â € ¢ Signature for validation of the aforementioned release.Below is an example of a liberating: â € œI self -process the processing of my personal data
   Pursuant to (TM) art.13 GDPR 679/16 â € ""â € œE European Registering on the protection of personal dataâ € .â € Ref. D Prog 2021
   Contact the user
   Contact the user, the human resource.it Recruitment Division Research for innovative reality in the development of online training platforms The resource will take care of: - Construction of web sites and realization of mobile application - management and implementation of existing platforms - AnalysisThe ideal resource has the following requirements of the needs of the customer and proposition of the best solution: - Study in the IT field or assimilated experience - Knowledge of Php and Framework Lavel - Knowledge of Javascript, HTML, CSS - knowledge of relational databases (MySQL) - Experience in the use of WordPress CMS is offered initial insertion in internship.Workplace: Florence click on the link below ""Website"" to send us your application.
   Contact the user, a company of national importance, research a C# .NET programmer with experience.The candidate will deal with analysis, design and development of new web applications, in the Visual Studio environment.Requirements required at least 3 years of experience in similar task excellent knowledge of the language C#, HTML 5, SQL Server JQuery, Json, excellent knowledge of .NET Framework 3.5 and subsequent ability to work in a good adaptation and flexibility capacity in the role and in the jobProblem solving skills orientation orientation and the result welcome knowledge of: javascript and bootstrap.Microcontrolleri programming in C ++ complete the spirit of the spirit of initiative and autonomy in the performance of the project assigned permanent hiring directly by the customer and RAL above the average of the market.The offer of work is intended for one and the other sex in compliance with Legislative Decree 198/2006.
   Contact the user, thanks for helping us to enforce the rules of publication of the ads.
   ×

   Report already sent!

   Thank you for helping us to enforce the rules of publication of the ads.
   ×

   Sorry, the sending of the report has failed

   Try again, or contact customer support
   ×, I read the privacy policy
   I give my consent to receive emails with offers relating to Kijiji
   I give my consent to receive promotional emails from third parties, including the EBay Group companies
   Confirm that you are not a robot!By clicking on ""Send"" Accept these conditions of the site.",look developer senior developer follow skill senior developer aspnet entity framework solid programming principles plus microsoft sql server web technology html css javascript vuejs plus microsoft visual studio studioversion control system git scrum methodology team member jira tool job description seniornet developer focus design development company solution personalized application development project use net framework aspnet sql server advanced component microsoft technology also use agile methodology role provide involvement complex project service main customer objective support implementation evolution process system reference area reference areaa timing application place work arezzo florence working time full time type contract indefinite talented software developer able communicate clearly technical non technical audienceare passionate technology strong corporate sensitivity ability relate well customersyour technical background likely include microsoft technology create technical specification base functional requirement designing building application unit test accord certain test plan interface directly customer collect feedback discuss designtechnique working member high performance software development team act key collaborator agile team perform sprint new exist application framework remuneration commensurate actual skillsand experience candidate join team talent strengthit note nomination without authorization processing personal datum take consideration pursuant art13 gdpr signature validation aforementioned release example liberating self process processing personal datum pursuant art13 gdpr european registering protection personal dataa ref prog contact user contact user human resourceit recruitment division research innovative reality development online training platform resource take care construction web site realization mobile application management implementation exist platform analysisthe ideal resource follow requirement need customer proposition good solution study field assimilate experience knowledge php framework lavel knowledge javascript html css knowledge relational database mysql experience use wordpress cms offer initial insertion internship workplace florence click link website send application contact user company national importance research net programmer experience candidate deal analysis design development new web application visual studio environment requirement require least year experience similar task excellent knowledge language html sql server jquery json excellent knowledge net framework subsequent ability work good adaptation flexibility capacity role jobproblem solve skill orientation orientation result welcome knowledge javascript bootstrap microcontrolleri programming complete spirit spirit initiative autonomy performance project assign permanent hiring directly customer ral average market offer work intend one sex compliance legislative decree contact user thank help enforce rule publication report already send thank help enforce rule publication sorry sending report fail try contact customer support read privacy policy give consent receive email offer relate kijiji give consent receive promotional email third party include ebay group company confirm robotby click send accept condition site
Job description: Stiamo cercando uno sviluppatore con una consolidata esperienza in C++,Software Engineer,Job Description: We are looking for a developer with a consolidated experience in C ++,job description look developer consolidated experience
"* installazione, manutenzione e supervisione dei sistemi operativi e degli applicativi;
     * controllare e garantire le performance dei servizi e delle reti proponendo best practices da adottare;
     * configurare e ottimizzare i server web, i database, i file server e gli altri applicativi installati.",System Analyst,"* installation, maintenance and supervision of operating systems and applications;
     * Check and guarantee the performance of services and networks by proposing Best Practices to be adopted;
     * Configure and optimize web servers, databases, server files and other installed applications.",installation maintenance supervision operating system application check guarantee performance service network propose best practices adopt configure optimize web server database server file instal application
"Stiamo rafforzando il nostro team di sviluppo front-end, e stiamo cercando professionisti da inserire in due progetti sfidanti, innovativi e di rilievo, presso due dei nostri clienti più importanti: uno dei più importanti operatori di telecomunicazioni a livello internazionale e un colosso bancario internazionale. Crediamo nel valore che ciascuno può dare nel contesto di un team affiatato e per questo motivo investiamo continuamente nella formazione: qui da noi avrai la possibilità di crescere e perfezionare le tue skills tecniche o arricchire il tuo bagaglio attraverso percorsi individuali e programmi esclusivi Ti unirai a gruppi di lavoro appassionati e coesi che collaborano quotidianamente per fornire le migliori soluzioni ai nostri clienti. Farai parte di una community internazionale attiva in oltre 20 paesi, e potrai confrontarti con professionisti provenienti da tutto il mondo. Avrai le tue reponsabilità e collaborerai con il team di riferimento nella definizione delle
   soluzioni. Lavorerai su uno stack tecnologico moderno e in continua evoluzione. Questo è quello che cerchiamo in te: * esperienza su ReactJS / Redux; * consolidata esperienza su .Net CORE e asp.net MVC CORE; * esperienza in javascript, typescript, HTML, CSS; * padronanza della lingua inglese parlata e scritta Se pensi che questa possa essere l'opportunità giusta per te, come and join us! #weareAvanade #AvanadeProud #Avanadefamily #orangefamily

   Employment Transparency Avanade® Is An Equal Opportunity Employer. Avanade prohibits discrimination and harassment against any employee or applicant for employment because of race, color, age, religion, sex, national origin, gender identity or expression, sexual orientation, disability, veteran, military or marital status, genetic information or any other protected status.

   The EEO is the Law poster is available here

   and poster supplement is available here

   The Pay Transparency Policy is available here

   Avanade is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation due to a disability for any part of the employment process, please send an e-mail to Avanade at careers@avanade.com or call (206) 239-5610 and let us know the nature of your request and your contact information.",Web Developer,"We are strengthening our front-end development team, and we are looking for professionals to be included in two challenging, innovative and important projects, at two of our most important customers: one of the most important international telecommunications operators and an international banking giantWe believe in the value that everyone can give in the context of a close -knit team and for this reason we continuously invest in training: here you will have the opportunity to grow and perfect your technical skills or enrich your baggage through individual paths and exclusive programs you will joinWorking groups passionate and cohesive that collaborate daily to provide the best solutions to our customers.You will be part of an international community activates in over 20 countries, and you can compare yourself with professionals from all over the world.You will have your responsibility and collaborate with the reference team in defining the
   solutions.You will work on a modern and constantly evolving technological stack.This is what we are looking for in you: * experience on reactjs / redux;* Consolidated experience on .net Core and Asp.Net MVC Core;* Experience in Javascript, Typescript, HTML, CSS;* mastery of the English language spoken and written if you think this can be the right opportunity for you, like and join US!#WEareaVanade #avanadeproud #avanadefamily #Orangefamily

   Employment Transparency Avanade® is an Equal Opportunities Employer.AVANADE PROHIBITS Discrimination and Harassment Against Any Employee or Applicant for Employment Because of Race, Color, Age, Religion, Sex, National Origin, Gender Identity OR Expression, Sexual Orientation, Disability, Veteran, Military Or Marital Status, Genetic Information or Any Other Protect.status.

   The eeo is the law poster is available here

   and Poster Supplement is Available here

   The pay transparency policy is available here

   AVANADE IS COMMITTED TO WORKING WITH AND PROVIDING REASONABLE ACCOMMODATIONS TO Individuals with disabilities.If you need a Reasonable Accomodation Two to Disability For Any Part of the Employment Process, please send an e-mail to habit at careers@avanade.com or Call (206) 239-5610 and Let us know the Nature of Your Request andYour Contact Information.",strengthen front end development team look professional include two challenging innovative important project two important customer one important international telecommunications operator international banking giantwe believe value everyone give context close knit team reason continuously invest training opportunity grow perfect technical skill enrich baggage individual path exclusive program joinworke group passionate cohesive collaborate daily provide good solution customer part international community activate country compare professional world responsibility collaborate reference team define solution work modern constantly evolve technological stack look experience reactjs redux consolidated experience net core asp net mvc core experience javascript typescript html css mastery english language speak write think right opportunity like join usweareavanade avanadeproud avanadefamily orangefamily employment transparency avanade equal opportunities employer avanade prohibit discrimination harassment employee applicant employment race color age religion sex national origin gender identity expression sexual orientation disability veteran military marital status genetic information protectstatus eeo law poster available poster supplement available pay transparency policy available avanade commit work provide reasonable accommodations individual disability need reasonable accomodation two disability part employment process please send mail habit careersavanadecom call let know nature request andyour contact information
"* Realizzare lo studio di fattibilità progettuale iniziale delle richieste di sviluppo e personalizzazione di nuovi software, applicazioni e sistemi IoT e/o di modifica di quelli già esistenti per i prodotti elettronici della B.U. Distribuzione Energia
     * Coordinare le attività di sviluppo dei software e delle APP di competenza, valutando le scelte tecnologiche, trasmettendo le relative specifiche, garantendo la realizzazione dei test e intervenendo nella definizione di eventuali modifiche da apportare
     * Partecipare a gruppi di lavoro interfunzionali su temi legati all'innovazione e supportare lo sviluppo di soluzioni tecnologiche innovative",Software Engineer,"* Create the initial design feasibility study of the requests for development and customization of new software, applications and IoT and/or modification systems of those already existing for the electronic products of the B.U.Energy distribution
     * Coordinate the development activities of the software and apps of competence, evaluating the technological choices, transmitting the related specifications, guaranteeing the realization of the tests and intervening in the definition of any changes to be made
     * Participate in interfunctional working groups on topics related to innovation and support the development of innovative technological solutions",create initial design feasibility study request development customization new software application iot andor modification system already exist electronic product buenergy distribution coordinate development activity software app competence evaluate technological choice transmit relate specification guarantee realization test intervene definition change make participate interfunctional work group topic relate innovation support development innovative technological solution
La risorsa si occuperà della scrittura dei software PLC per l'azienda cliente.,Programmer,The resource will take care of the writing of PLC software for the client company.,resource take care writing plc software client company
